,record,m,n,d,q,b,w,s,q_mean,q_std,u_bits,c_bits,bpm,bps,cr,pss,snr,prd,nmse,rtime,y_min,y_max,y_range,y_iqr,y_mean,y_std,y_median,y_mad,y_skew,y_kurtosis,y_jbera,y_jb_pval
0,100,256,512,4,8,32,1269,649728,-2,1,7147008,668096,2.0565405831363277,1.0282702915681639,10.697576396206534,90.65208825847124,33.33603878202248,2.1537637392033315,0.00046386982443070616,433.3726873000003,-2073.0,489.0,2562.0,293.0,-490.015317178881,224.44315069490773,-472.0,176.3893466121288,-0.46481880292846806,3.7093852798244424,18509.85129956713,0.0
1,101,256,512,4,8,32,1269,649728,-2,1,7147008,706496,2.174743892828999,1.0873719464144995,10.116133707763383,90.11480048714091,32.02972807694476,2.5033040163396625,0.0006266530998222361,418.6807213999994,-5924.0,3723.0,9647.0,323.0,-454.79032456658786,287.0620036969811,-434.0,207.2588663769865,-0.38820823670247007,15.398352739490807,2088902.2291406344,0.0
2,102,256,512,4,8,32,1269,649728,-2,1,7147008,597792,1.840130023640662,0.920065011820331,11.955676890958728,91.63577261981517,33.36607577623626,2.1463285929394433,0.0004606726428869587,439.79529600000035,-1669.0,366.0,2035.0,257.25,-393.3674891646966,196.95998885498844,-374.0,154.978992779099,-0.5520424052616266,3.6780490340009755,22723.610913468787,0.0
3,103,256,512,4,8,32,1269,649728,-2,1,7147008,689120,2.1212568951930653,1.0606284475965326,10.371209658695147,90.35792320366788,31.93532749345201,2.5306589785972795,0.0006404234865955157,430.0330552999967,-6237.0,2587.0,8824.0,302.0,-370.26282998423954,285.9058020559725,-361.0,201.6353343764801,-0.7799244377784375,15.906148338756083,2287608.276227894,0.0
4,104,256,512,4,8,32,1269,649728,-2,1,7147008,642784,1.978624901497242,0.989312450748621,11.118833076118882,91.00625044773982,32.892597452998544,2.2665751727401258,0.0005137363013681914,422.37644710000313,-3087.0,1117.0,4204.0,284.0,-360.07939322301024,231.45441128180434,-337.0,176.9799623563566,-0.6132378559505864,5.040081559843757,76697.35079236048,0.0
5,105,256,512,4,8,32,1269,649728,-2,1,7147008,733568,2.2580772261623325,1.1290386130811663,9.742802303262955,89.73601260835304,29.605340369781796,3.309275937846384,0.0010951307232808908,437.13069450000467,-7396.0,6308.0,13704.0,326.0,-360.23066883372735,346.73864825146086,-348.0,228.23985286982955,-0.37532666780965557,22.51542524492931,5162837.540334604,0.0
6,106,256,512,4,8,32,1269,649728,-2,1,7147008,731008,2.2501970055161546,1.1250985027580773,9.776921729994747,89.77183179310839,32.75733159178969,2.3021489562182604,0.0005299889816617053,430.7905314999957,-2577.0,1558.0,4135.0,314.0,-284.7167306934594,270.5854576201472,-276.0,204.3326189622628,-0.09293995842178752,4.434182262572845,28309.597911626104,0.0
7,107,256,512,4,8,32,1269,649728,-2,2,7147008,1073728,3.3051615445232465,1.6525807722616233,6.656255588007391,84.97653843398524,30.281880428760722,3.0613006137459657,0.0009371561447721346,429.8285236000006,-5651.0,3988.0,9639.0,747.0,-372.20626477541373,624.6103829243201,-331.0,475.02317597581595,-0.45816551528983446,4.649941758871025,48214.830864289426,0.0
8,108,256,512,4,8,32,1269,649728,-2,2,7147008,884160,2.721631205673759,1.3608156028368794,8.083387622149838,87.62894906511927,31.535107638177745,2.649992337028399,0.0007022459386308964,461.0681971000113,-6376.0,6610.0,12986.0,336.0,-365.8647434003152,422.3319544009625,-337.0,259.4593367931078,-0.1613839454322228,22.129512677414777,4954750.39185899,0.0
9,109,256,512,4,8,32,1269,649728,-2,1,7147008,787264,2.423364854215918,1.211682427107959,9.078286318185514,88.98470520810946,31.439586979182884,2.67929572438844,0.0007178625578726192,461.1565035999961,-3495.0,3992.0,7487.0,389.0,-368.4690947596533,335.49241153579936,-364.0,249.78993412093766,0.18917978437825467,7.327165673731856,255390.73354542677,0.0
10,111,256,512,4,8,32,1269,649728,-2,1,7147008,753120,2.3182624113475176,1.1591312056737588,9.489866156787762,89.46244358478401,31.961630977709454,2.5230069747842165,0.0006365564194809935,475.67026419999365,-7533.0,4465.0,11998.0,306.0,-262.1284229708432,307.71722395289055,-240.0,210.21421500733976,-0.9112449823097388,23.07262741630869,5498754.2006570045,0.0
11,112,256,512,4,8,32,1269,649728,-6,2,7147008,1018016,3.133668242710796,1.566834121355398,7.0205261999811395,85.75605344222366,31.52791570827468,2.6521874433862136,0.0007034098234855385,480.8365259000211,-7656.0,183.0,7839.0,724.0,-1315.8137559101656,538.9277376908087,-1258.0,425.63123427743653,-0.6381538804066031,4.141490498108074,39687.03841144402,0.0
12,113,256,512,4,8,32,1269,649728,-1,1,7147008,830464,2.5563435776201735,1.2781717888100868,8.606041923551171,88.38025646536285,31.961885779012146,2.5229329632480932,0.0006365190737043935,463.06999110000925,-3471.0,2650.0,6121.0,379.0,-248.30807968873128,336.7051496221329,-245.0,249.67795060152372,-0.05173825652655361,5.1921635097763,65193.27764842763,0.0
13,114,256,512,4,8,32,1269,649728,-1,1,7147008,644032,1.9824665090622537,0.9912332545311269,11.097287091324654,90.98878859517157,33.30893247701913,2.160495550112968,0.00046677410220579,463.7982833999913,-3076.0,5680.0,8756.0,235.0,-248.74046985815602,219.41975644544718,-227.0,153.34108186629317,1.1519092043194696,30.410770723717285,10242121.753043847,0.0
14,115,256,512,4,8,32,1269,649728,-4,2,7147008,953600,2.9353821907013398,1.4676910953506699,7.494765100671141,86.65735367863027,31.952761190386713,2.5255847148051367,0.0006378578151657523,457.78851810000833,-7954.0,1761.0,9715.0,559.0,-780.7943878053585,461.144499449569,-737.0,349.43247585136663,-0.8161549189442493,6.744015417517266,225808.72764863173,0.0
15,116,256,512,4,8,32,1269,649728,-6,3,7147008,1171488,3.6060874704491725,1.8030437352245863,6.100794886503319,83.60869331614012,24.933211997173455,5.666819767008381,0.0032112846271756426,522.9311121000019,-18332.0,16751.0,35083.0,930.0,-1498.0884308510638,874.8566894731678,-1439.0,603.4236147296892,-0.2862613095828877,22.704953212487347,5260265.070630128,0.0
16,117,256,512,4,8,32,1269,649728,-6,2,7147008,1028384,3.1655831363278173,1.5827915681639086,6.949746398232567,85.61098574396446,31.223111750840644,2.7469098865724693,0.0007545513924949551,472.35946989999684,-8762.0,417.0,9179.0,748.0,-1363.02152285264,560.0548319950996,-1302.0,441.87730387902434,-0.6977582772753038,4.384825638515303,52319.46229815267,0.0
17,118,256,512,4,8,32,1269,649728,-6,2,7147008,1072544,3.301516942474389,1.6507584712371945,6.663603544469971,84.9931048069346,29.937910599976064,3.184963575972742,0.0010143992980273288,456.3373902999938,-7221.0,3714.0,10935.0,809.0,-1373.0560234436564,613.8832816549324,-1305.0,482.1013768142142,-0.5467136781762835,4.372342207165487,41676.07861665683,0.0
18,119,256,512,4,8,32,1269,649728,-6,2,7147008,1090464,3.356678486997636,1.678339243498818,6.554098072013382,84.7423705136471,30.25917647807962,3.0693129806561097,0.0009420682173224054,434.0784657999775,-6982.0,1381.0,8363.0,825.0,-1378.0560726950355,628.9658172991057,-1317.0,494.72616912741324,-0.5738786261002784,3.804618555932709,26594.960640456924,0.0
19,121,256,512,4,8,32,1269,649728,-6,3,7147008,1100896,3.3887903861308115,1.6943951930654058,6.491991977443828,84.59640733576904,30.883576434778977,2.8564141661854263,0.0008159101888784746,422.4858485999939,-15476.0,1536.0,17012.0,763.0,-1295.5078555949567,635.2348684705878,-1227.0,472.7403312793014,-1.3687468731612604,13.123607838733907,1488706.9808056091,0.0
