,record,mr,m,n,d,q,b,w,s,q_mean,q_std,u_bits,c_bits,bpm,bps,cr,pss,snr,prd,nmse,rtime
0,100,0.05,26,512,6,0,32,1269,649728,-7237,1268,7147008,405472,12.28926471479663,0.6240642237982663,17.626390971509746,94.32668887456121,0.6725003899075046,92.54969257966513,0.8565445596590868,41.96040819999988
1,100,0.05,26,512,6,1,32,1269,649728,-3619,634,7147008,372672,11.295144571740316,0.5735815602836879,19.17774343122102,94.7856221792392,0.672154597139228,92.5533771362018,0.8566127619315873,46.793227499999965
2,100,0.05,26,512,6,2,32,1269,649728,-1810,317,7147008,339840,10.300054555373704,0.5230496453900709,21.030508474576273,95.24500322372663,0.6711679506184737,92.56389104531169,0.8568073925448522,46.410094900000445
3,100,0.05,26,512,6,3,32,1269,649728,-905,159,7147008,307040,9.305934412317391,0.4725669818754925,23.277123501823866,95.70393652840461,0.6692264161584573,92.58458392525013,0.8571905180611545,52.746315600000145
4,100,0.05,26,512,6,4,32,1269,649728,-453,80,7147008,274240,8.311814269261077,0.4220843183609141,26.061143523920652,96.1628698330826,0.6671389766134223,92.60683702249955,0.8576026263311589,57.23181699999995
5,100,0.05,26,512,6,5,32,1269,649728,-227,40,7147008,241408,7.316724252894466,0.37155240346729707,29.605514316012727,96.62225087757002,0.6620257295602624,92.66136926513448,0.8586129354089387,58.68256399999967
6,100,0.05,26,512,6,6,32,1269,649728,-114,20,7147008,208576,6.321634236527854,0.32102048857368004,34.265725682724764,97.08163192205745,0.6523631693284276,92.76450714675954,0.8605253786181238,57.50860970000031
7,100,0.05,26,512,6,7,32,1269,649728,-57,10,7147008,175712,5.325574346850942,0.2704393223010244,40.674558368238934,97.54146070635433,0.6116486037860952,93.20035569243207,0.8686306301196125,47.1322935000004
8,100,0.05,26,512,6,8,32,1269,649728,-29,5,7147008,142976,4.333393950415227,0.22005516154452326,49.98746642793196,97.99949853141342,0.5232687708124774,94.15352008196419,0.8864885343824808,46.61461470000154
9,100,0.1,51,512,6,0,32,1269,649728,-3690,735,7147008,745024,11.511673542545466,1.1466706067769898,9.59299029293016,89.57572175657282,4.350245605102502,60.60210642317446,0.3672615302925777,103.87254269999954
10,100,0.1,51,512,6,1,32,1269,649728,-1845,368,7147008,680640,10.516849765911093,1.0475768321513002,10.500423131170663,90.47657425317,4.350229678724852,60.60221754281313,0.36726287711065403,103.96803909999846
11,100,0.1,51,512,6,2,32,1269,649728,-923,184,7147008,616256,9.522025989276719,0.9484830575256107,11.597465988160764,91.37742674976718,4.35015449644988,60.60274209844205,0.36726923498502784,106.6820569000023
12,100,0.1,51,512,6,3,32,1269,649728,-462,92,7147008,551840,8.52670776742533,0.8493400315208826,12.951232241229341,92.2787269861738,4.349622940321972,60.60645095798278,0.36731418977223645,107.8892310999986
13,100,0.1,51,512,6,4,32,1269,649728,-231,46,7147008,487424,7.531389545573942,0.7501970055161544,14.66281512605042,93.18002722258042,4.348590010112902,60.61365873509709,0.3674015625254676,107.23059460000286
14,100,0.1,51,512,6,5,32,1269,649728,-116,23,7147008,423008,6.536071323722554,0.6510539795114263,16.89568045994402,94.08132745898703,4.34449902220186,60.642214031165175,0.3677478122601573,109.06554669999741
15,100,0.1,51,512,6,6,32,1269,649728,-58,12,7147008,359136,5.549158670560423,0.5527482269503546,19.90056134723336,94.97501611863314,4.337318960374966,60.69236374275777,0.3683563016683376,109.10931220000384
16,100,0.1,51,512,6,7,32,1269,649728,-29,6,7147008,294784,4.5548293391430645,0.4537037037037037,24.244897959183675,95.87542087542087,4.306269227370998,60.90971096272841,0.37099928895632633,109.86759999999958
17,100,0.1,51,512,6,8,32,1269,649728,-15,3,7147008,230624,3.563466679027797,0.3549546887312845,30.989870958790064,96.77313919335197,4.186973647214301,61.752041194699494,0.3813314591711906,105.27746819999834
18,100,0.2,102,512,6,0,32,1269,649728,-1845,487,7147008,1413152,10.917597614301828,2.1749901497241924,5.057494169063201,80.22736227523461,12.248047270431128,24.411678206720268,0.05959300328684526,274.794253700004
19,100,0.2,102,512,6,1,32,1269,649728,-923,244,7147008,1284512,9.923762728101485,1.9769996059889676,5.563986946015296,82.02727630919121,12.249103014973302,24.408711218779647,0.05957851833617861,250.33121879999976
20,100,0.2,102,512,6,2,32,1269,649728,-462,122,7147008,1155808,8.929433396684127,1.7789105594956658,6.183559899222016,83.82808582276667,12.246969792381604,24.414706644798564,0.05960779005515697,243.5799057000063
21,100,0.2,102,512,6,3,32,1269,649728,-231,61,7147008,1027072,7.934856842658261,1.5807722616233255,6.958624127617148,85.62934307615159,12.239124578312769,24.436768302755162,0.05971556450825096,261.6971181000081
22,100,0.2,102,512,6,4,32,1269,649728,-116,31,7147008,898848,6.944235850368516,1.383421985815603,7.9512976610060875,87.42343649258542,12.240906558649247,24.43175541681807,0.05969106727472098,257.56192930000725
23,100,0.2,102,512,6,5,32,1269,649728,-58,16,7147008,770976,5.956334306772354,1.186613475177305,9.270078446021666,89.21260477111541,12.223447255317174,24.48091450638861,0.05993151750690852,261.1132543000008
24,100,0.2,102,512,6,6,32,1269,649728,-29,8,7147008,642176,4.961263307529474,0.9883766745468873,11.129360175403628,91.0147575041192,12.082106055251488,24.88253921759423,0.06191407579150991,256.6506365000009
25,100,0.2,102,512,6,7,32,1269,649728,-15,4,7147008,513632,3.968170089154653,0.7905338849487785,13.914647062488319,92.81332831864746,11.667106839887374,26.100249445802415,0.06812230211331384,266.07365340000933
26,100,0.2,102,512,6,8,32,1269,649728,-8,2,7147008,388320,3.000046354239095,0.5976654846335697,18.40494437577256,94.5666774124221,10.41718450603987,30.13982835502562,0.09084092532704151,267.6509328000034
27,100,0.3,154,512,6,0,32,1269,649728,-1222,359,7147008,2050784,10.493915855617983,3.1563731284475964,3.485012561049823,71.30569883229458,19.40165206834022,10.713155201499418,0.011477169437141246,246.2973262000014
28,100,0.3,154,512,6,1,32,1269,649728,-611,180,7147008,1856416,9.499329669542435,2.857220252167061,3.8498957130298384,74.0252704348449,19.40721653245265,10.706294202890819,0.011462473555885356,250.74586650001993
29,100,0.3,154,512,6,2,32,1269,649728,-306,90,7147008,1661856,8.503761014399313,2.5577718676122934,4.300618104095662,76.74752847625189,19.40485458949376,10.709205947777527,0.011468709203190989,252.20441670000037
30,100,0.3,154,512,6,3,32,1269,649728,-153,45,7147008,1467232,7.507864869566998,2.2582249802994485,4.871082419140259,79.47068199727774,19.389660348841158,10.72795597383461,0.01150890393765328,252.12229620001108
31,100,0.3,154,512,6,4,32,1269,649728,-77,23,7147008,1273536,6.5167173252279635,1.9601063829787233,5.611940298507463,82.18085106382979,19.39815055368376,10.717474831800363,0.011486426677027319,256.1637203000246
