,record,m,n,d,b,f,w,s,u_bits,c_bits,overhead_bits,bpm,bps,overhead,cr,pss,snr,prd,nmse,rtime,qc_snr,qc_prd,qc_nmse,min_qc_snr,max_qc_snr,min_q,max_q,min_rng,max_rng
0,100,320,800,4,25,13,812,649600,7145600,1274200,952,4.903786945812808,1.9615147783251232,0.0007471354575419872,5.607910846021033,82.16804746977161,23.127000866127727,6.976698523580696,0.004867432228893377,654.7501041000007,30.992971607508498,2.8206644152297273,0.0007956147743343259,30.30183168942114,31.74917767123653,5,5,3,3
1,101,320,800,4,25,13,812,649600,7145600,1353656,952,5.209575123152709,2.083830049261084,0.0007032805971384162,5.278741423227172,81.05609046126287,22.875309917658118,7.181819802169542,0.005157853567083373,713.6324431999994,30.354606997001248,3.035775489134988,0.0009215932820432778,29.48715251565056,31.3202152552547,5,5,3,6
2,102,320,800,4,25,13,812,649600,7145600,1236472,952,4.758589901477833,1.903435960591133,0.0007699325176793329,5.779022897404874,82.69603672189879,21.019900463401875,8.892113077826586,0.007906967498885076,711.5663849999971,29.290385929604412,3.431473928056372,0.001177501331893063,28.70144498861344,29.937181015087567,5,5,3,3
3,103,320,800,4,25,13,812,649600,7145600,1353304,952,5.208220443349754,2.0832881773399015,0.0007034635233473041,5.280114445830353,81.06101656963726,21.93187601128249,8.005826969545424,0.0064093265466301595,739.6838415000025,28.975777974970043,3.5580422536032663,0.001265966467842621,27.894914125917516,30.290977458902542,5,5,3,5
4,104,320,800,4,25,13,812,649600,7145600,1293720,952,4.978910098522167,1.991564039408867,0.0007358624741056797,5.523297158581455,81.8948723690103,18.219229474894973,12.275481220991043,0.01506874392069115,727.8233294000038,28.73433880599234,3.6583315265160574,0.0013383389557901303,27.699205355397577,29.783193031184698,5,5,3,5
5,105,320,800,4,25,13,812,649600,7145600,1408760,952,5.421644088669951,2.1686576354679805,0.0006757716005565177,5.072262131235981,80.28493058665472,21.58283698130051,8.334089325163024,0.006945704487979828,729.2802059999935,29.099923430078523,3.5075496599759086,0.001230290461719711,27.68441971122763,31.773699424755964,5,5,3,8
6,106,320,800,4,25,13,812,649600,7145600,1481560,952,5.701816502463054,2.2807266009852216,0.0006425659440049677,4.823024379707875,79.26612180922525,21.480904362803063,8.432469554879411,0.0071106542793968365,726.9412834000113,29.581331462798936,3.3184358524434256,0.0011012016506781928,27.49057861151298,33.550862345662026,4,5,3,4
7,107,320,800,4,25,13,812,649600,7145600,1654776,952,6.368442118226601,2.54737684729064,0.0005753044520829405,4.318167534457836,76.84202866099417,23.06769791889432,7.024494940898831,0.004934352917471444,743.344867499989,31.051454024925018,2.8017365694484493,0.0007849727804584765,27.916410682683445,33.27134876270562,5,6,4,5
8,108,320,800,4,25,13,812,649600,7145600,1440120,952,5.542333743842365,2.216933497536946,0.0006610560231091854,4.961808738160709,79.8460591133005,21.843935548190327,8.087293835121725,0.006540432157559817,739.0356455000183,29.923266258753138,3.1903379286532063,0.0010178256099003232,28.295086293886097,32.805040585114114,5,6,3,7
9,109,320,800,4,25,13,812,649600,7145600,1427992,952,5.495658866995074,2.1982635467980294,0.0006666704015148544,5.0039496019585545,80.01578593819973,23.9283848216203,6.361810944379527,0.004047263849202573,720.5499867999952,29.678747486923843,3.2814260816000758,0.0010767757129005226,28.120748923976656,32.31920501574831,5,5,3,5
