,record,reference,m,n,d,u_bits,c_bits,cr,pms,pss,snr,prd,rtime
0,100,88,29,256,4,7149824,450616,15.866777921778189,89,93.69752318378747,16.361293476400142,15.203211112549598,8.619363749865443
1,100,88,31,256,4,7149824,474872,15.056318334203743,88,93.35827007769701,19.0477285691789,11.15869922263931,2.899492961820216
2,100,88,34,256,4,7149824,529496,13.503074621904604,87,92.59427924379678,8.68311878035292,36.79968159292289,2.7806664151139557
3,100,88,36,256,4,7149824,589912,12.12015351442249,86,91.74927942282216,10.365235569203843,30.320630051989276,2.9926871270872644
4,100,88,39,256,4,7149824,673336,10.618508441550727,85,90.58248147087257,18.9674844813308,11.262265879140198,2.8814831408672035
5,100,88,41,256,4,7149824,705752,10.130788152212109,84,90.12909968133481,19.427013223154276,10.681920436688868,2.8457071287557483
6,100,88,44,256,4,7149824,755672,9.461544162017383,83,89.43090067671596,16.015659396633303,15.820384345093455,2.793813940603287
7,100,88,47,256,4,7149824,805752,8.873479681092942,82,88.73046385477461,19.76624394111633,10.2727756359084,2.881609641946852
8,100,88,49,256,4,7149824,818520,8.73506328495333,81,88.5518860324394,14.416346189924624,19.01878156557584,2.9028315669856966
9,100,88,52,256,4,7149824,873560,8.184697101515637,80,87.78207687350066,21.286934291529814,8.622898725674863,2.821929404977709
10,101,88,29,256,4,7149824,489816,14.596958858020155,89,93.14925793977586,16.11799156070182,15.63509131248931,1.5575582319870591
11,101,88,31,256,4,7149824,522104,13.694252486094724,88,92.6976664040961,18.71360405523881,11.596309480953716,1.5569752510637045
12,101,88,34,256,4,7149824,595352,12.009406200029563,87,91.67319363385728,9.67753455739726,32.818843439845935,1.5503120850771672
13,101,88,36,256,4,7149824,648248,11.029457861805975,86,90.93337122704,11.401073486258534,26.912021785760622,1.5664569800719619
14,101,88,39,256,4,7149824,718040,9.957417414071639,85,89.95723531096709,18.545097368654886,11.823474840696154,1.5738466121256351
15,101,88,41,256,4,7149824,748632,9.550518812981545,84,89.52936463890579,19.09527177113767,11.097787672207476,1.7193733733147383
16,101,88,44,256,4,7149824,797720,8.962824048538334,83,88.84280228436393,16.51489443915649,14.936721311957427,1.593521772883832
17,101,88,47,256,4,7149824,845208,8.459247901108366,82,88.17861810304701,19.463733058666314,10.636857645700116,1.5914081046357746
18,101,88,49,256,4,7149824,866360,8.252717115286949,81,87.88277865301299,15.05830016522946,17.663834693625837,1.5701516764238477
19,101,88,52,256,4,7149824,918168,7.787054221014019,80,87.15817340398868,20.705331559515912,9.220053095344417,1.585839753970504
20,101,88,54,256,4,7149824,945624,7.560958689711767,79,86.77416395144832,21.06294786780261,8.84815265110466,2.8078877129592
21,102,63,93,256,4,7149824,1635096,4.372724292640921,64,77.13096154534713,20.46225816205244,9.481719250303055,2.8968059797771275
22,102,63,95,256,4,7149824,1663640,4.297699021422904,63,76.73173493501379,19.757318201786177,10.283337506888412,2.7720554037950933
23,102,63,98,256,4,7149824,1712088,4.176084406876282,62,76.0541238497619,20.120282476155655,9.862474110920505,3.051775945816188
