,record,beat,sym,pos,block,k
0,100,0,+,18,0,44
1,100,1,N,77,0,44
2,100,2,N,370,0,44
3,100,3,N,662,0,44
4,100,4,N,946,0,44
5,100,5,N,1231,1,26
6,100,6,N,1515,1,26
7,100,7,N,1809,1,26
8,100,8,A,2044,1,26
9,100,9,N,2402,2,39
10,100,10,N,2706,2,39
11,100,11,N,2998,2,39
12,100,12,N,3282,3,43
13,100,13,N,3560,3,43
14,100,14,N,3862,3,43
15,100,15,N,4170,4,44
16,100,16,N,4466,4,44
17,100,17,N,4764,4,44
18,100,18,N,5060,4,44
19,100,19,N,5346,5,35
20,100,20,N,5633,5,35
21,100,21,N,5918,5,35
22,100,22,N,6214,6,45
23,100,23,N,6527,6,45
24,100,24,N,6823,6,45
25,100,25,N,7106,6,45
26,100,26,N,7391,7,38
27,100,27,N,7670,7,38
28,100,28,N,7953,7,38
29,100,29,N,8245,8,36
30,100,30,N,8539,8,36
31,100,31,N,8837,8,36
32,100,32,N,9141,8,36
33,100,33,N,9431,9,34
34,100,34,N,9710,9,34
35,100,35,N,9998,9,34
36,100,36,N,10282,10,42
37,100,37,N,10591,10,42
38,100,38,N,10894,10,42
39,100,39,N,11191,10,42
40,100,40,N,11480,11,28
41,100,41,N,11781,11,28
42,100,42,N,12066,11,28
43,100,43,N,12350,12,39
44,100,44,N,12645,12,39
45,100,45,N,12949,12,39
46,100,46,N,13266,12,39
47,100,47,N,13562,13,32
48,100,48,N,13842,13,32
49,100,49,N,14131,13,32
50,100,50,N,14423,14,42
51,100,51,N,14710,14,42
52,100,52,N,15011,14,42
53,100,53,N,15310,14,42
54,100,54,N,15607,15,32
55,100,55,N,15899,15,32
56,100,56,N,16183,15,32
57,100,57,N,16464,16,40
58,100,58,N,16755,16,40
59,100,59,N,17058,16,40
60,100,60,N,17358,16,40
61,100,61,N,17657,17,25
62,100,62,N,17947,17,25
63,100,63,N,18227,17,25
64,100,64,N,18514,18,39
65,100,65,N,18795,18,39
66,100,66,N,19080,18,39
67,100,67,N,19388,18,39
68,100,68,N,19693,19,43
69,100,69,N,19989,19,43
70,100,70,N,20271,19,43
71,100,71,N,20554,20,41
72,100,72,N,20837,20,41
73,100,73,N,21131,20,41
74,100,74,N,21423,20,41
75,100,75,N,21729,21,35
76,100,76,N,22029,21,35
77,100,77,N,22321,21,35
78,100,78,N,22603,22,38
79,100,79,N,22881,22,38
80,100,80,N,23164,22,38
81,100,81,N,23453,22,38
82,100,82,N,23756,23,39
83,100,83,N,24053,23,39
84,100,84,N,24345,23,39
85,100,85,N,24625,24,39
86,100,86,N,24913,24,39
87,100,87,N,25197,24,39
88,100,88,N,25485,24,39
89,100,89,N,25779,25,35
90,100,90,N,26088,25,35
91,100,91,N,26387,25,35
92,100,92,N,26670,26,41
93,100,93,N,26952,26,41
94,100,94,N,27237,26,41
95,100,95,N,27536,26,41
96,100,96,N,27833,27,34
97,100,97,N,28132,27,34
98,100,98,N,28431,27,34
99,100,99,N,28727,28,45
100,100,100,N,29014,28,45
101,100,101,N,29294,28,45
102,100,102,N,29580,28,45
103,100,103,N,29873,29,38
104,100,104,N,30182,29,38
105,100,105,N,30487,29,38
106,100,106,N,30779,30,42
107,100,107,N,31065,30,42
108,100,108,N,31348,30,42
109,100,109,N,31635,30,42
110,100,110,N,31927,31,36
111,100,111,N,32224,31,36
112,100,112,N,32529,31,36
113,100,113,N,32836,32,39
114,100,114,N,33127,32,39
115,100,115,N,33403,32,39
116,100,116,N,33691,32,39
117,100,117,N,33980,33,35
118,100,118,N,34274,33,35
119,100,119,N,34575,33,35
120,100,120,N,34870,34,45
121,100,121,N,35168,34,45
122,100,122,N,35455,34,45
123,100,123,N,35736,34,45
124,100,124,N,36016,35,23
125,100,125,N,36309,35,23
126,100,126,N,36605,35,23
127,100,127,N,36916,36,39
128,100,128,N,37215,36,39
129,100,129,N,37499,36,39
130,100,130,N,37782,36,39
131,100,131,N,38071,37,21
132,100,132,N,38356,37,21
133,100,133,N,38651,37,21
134,100,134,N,38950,38,36
135,100,135,N,39252,38,36
136,100,136,N,39547,38,36
137,100,137,N,39825,38,36
138,100,138,N,40096,39,35
139,100,139,N,40382,39,35
140,100,140,N,40677,39,35
141,100,141,N,40970,40,40
142,100,142,N,41271,40,40
143,100,143,N,41567,40,40
144,100,144,N,41849,40,40
145,100,145,N,42117,41,34
146,100,146,N,42416,41,34
147,100,147,N,42697,41,34
148,100,148,N,42996,41,34
149,100,149,N,43307,42,38
150,100,150,N,43603,42,38
151,100,151,N,43892,42,38
152,100,152,N,44172,43,39
153,100,153,N,44455,43,39
154,100,154,N,44743,43,39
155,100,155,N,45030,43,39
156,100,156,N,45323,44,32
157,100,157,N,45628,44,32
158,100,158,N,45925,44,32
159,100,159,N,46204,45,34
160,100,160,N,46478,45,34
161,100,161,N,46759,45,34
162,100,162,N,47037,45,34
