,family,wavelet,level,record,blocks,k_min,k_max,k_mean
0,bior,bior1.1,10,100,634,39,96,63.73
1,bior,bior1.1,10,101,634,39,96,63.73
2,bior,bior1.1,10,102,634,39,96,63.73
3,bior,bior1.1,10,103,634,39,96,63.73
4,bior,bior1.1,10,104,634,39,96,63.73
5,bior,bior1.1,10,105,634,39,96,63.73
6,bior,bior1.1,10,106,634,39,96,63.73
7,bior,bior1.1,10,107,634,39,96,63.73
8,bior,bior1.1,10,108,634,39,96,63.73
9,bior,bior1.1,10,109,634,39,96,63.73
10,bior,bior1.1,10,111,634,39,96,63.73
11,bior,bior1.1,10,112,634,39,96,63.73
12,bior,bior1.1,10,113,634,39,96,63.73
13,bior,bior1.1,10,114,634,39,96,63.73
14,bior,bior1.1,10,115,634,39,96,63.73
15,bior,bior1.1,10,116,634,39,96,63.73
16,bior,bior1.1,10,117,634,39,96,63.73
17,bior,bior1.1,10,118,634,39,96,63.73
18,bior,bior1.1,10,119,634,39,96,63.73
19,bior,bior1.1,10,121,634,39,96,63.73
20,bior,bior1.1,10,122,634,39,96,63.73
21,bior,bior1.1,10,123,634,39,96,63.73
22,bior,bior1.1,10,124,634,39,96,63.73
23,bior,bior1.1,10,200,634,39,96,63.73
24,bior,bior1.1,10,201,634,39,96,63.73
25,bior,bior1.1,10,202,634,39,96,63.73
26,bior,bior1.1,10,203,634,39,96,63.73
27,bior,bior1.1,10,204,634,39,96,63.73
28,bior,bior1.1,10,205,634,39,96,63.73
29,bior,bior1.1,10,206,634,39,96,63.73
30,bior,bior1.1,10,207,634,39,96,63.73
31,bior,bior1.1,10,208,634,39,96,63.73
32,bior,bior1.1,10,209,634,39,96,63.73
33,bior,bior1.1,10,210,634,39,96,63.73
34,bior,bior1.1,10,212,634,39,96,63.73
35,bior,bior1.1,10,213,634,39,96,63.73
36,bior,bior1.1,10,214,634,39,96,63.73
37,bior,bior1.1,10,215,634,39,96,63.73
38,bior,bior1.1,10,217,634,39,96,63.73
39,bior,bior1.1,10,219,634,39,96,63.73
40,bior,bior1.1,10,220,634,39,96,63.73
41,bior,bior1.1,10,221,634,39,96,63.73
42,bior,bior1.1,10,222,634,39,96,63.73
43,bior,bior1.1,10,223,634,39,96,63.73
44,bior,bior1.1,10,228,634,39,96,63.73
45,bior,bior1.1,10,231,634,39,96,63.73
46,bior,bior1.1,10,232,634,39,96,63.73
47,bior,bior1.1,10,233,634,39,96,63.73
48,bior,bior1.3,7,100,634,42,95,65.36
49,bior,bior1.3,7,101,634,42,95,65.36
50,bior,bior1.3,7,102,634,42,95,65.36
51,bior,bior1.3,7,103,634,42,95,65.36
52,bior,bior1.3,7,104,634,42,95,65.36
53,bior,bior1.3,7,105,634,42,95,65.36
54,bior,bior1.3,7,106,634,42,95,65.36
55,bior,bior1.3,7,107,634,42,95,65.36
56,bior,bior1.3,7,108,634,42,95,65.36
57,bior,bior1.3,7,109,634,42,95,65.36
58,bior,bior1.3,7,111,634,42,95,65.36
59,bior,bior1.3,7,112,634,42,95,65.36
60,bior,bior1.3,7,113,634,42,95,65.36
61,bior,bior1.3,7,114,634,42,95,65.36
62,bior,bior1.3,7,115,634,42,95,65.36
63,bior,bior1.3,7,116,634,42,95,65.36
64,bior,bior1.3,7,117,634,42,95,65.36
65,bior,bior1.3,7,118,634,42,95,65.36
66,bior,bior1.3,7,119,634,42,95,65.36
67,bior,bior1.3,7,121,634,42,95,65.36
68,bior,bior1.3,7,122,634,42,95,65.36
69,bior,bior1.3,7,123,634,42,95,65.36
70,bior,bior1.3,7,124,634,42,95,65.36
71,bior,bior1.3,7,200,634,42,95,65.36
72,bior,bior1.3,7,201,634,42,95,65.36
73,bior,bior1.3,7,202,634,42,95,65.36
74,bior,bior1.3,7,203,634,42,95,65.36
75,bior,bior1.3,7,204,634,42,95,65.36
76,bior,bior1.3,7,205,634,42,95,65.36
77,bior,bior1.3,7,206,634,42,95,65.36
78,bior,bior1.3,7,207,634,42,95,65.36
79,bior,bior1.3,7,208,634,42,95,65.36
80,bior,bior1.3,7,209,634,42,95,65.36
81,bior,bior1.3,7,210,634,42,95,65.36
82,bior,bior1.3,7,212,634,42,95,65.36
83,bior,bior1.3,7,213,634,42,95,65.36
